timestamp,q0,q1,q2,q3,ax,ay,az,gx,gy,gz,mx,my,mz,alt,temp
1.22184,0.760,-0.511,0.386,0.111,-0.015,-0.031,1.008,-0.256,0.349,0.236,0.330,-0.315,-1.908,7.699,20.913
1.24184,0.745,-0.527,0.394,0.110,-0.015,-0.038,0.997,-0.245,0.345,0.233,0.330,-0.315,-1.908,7.699,20.913
1.26183,0.729,-0.541,0.404,0.111,-0.012,-0.035,0.992,-0.251,0.360,0.548,0.330,-0.315,-1.908,8.206,20.917
1.28185,0.713,-0.557,0.411,0.110,-0.007,-0.032,1.007,-0.245,0.351,0.251,0.330,-0.315,-1.908,8.206,20.917
1.30186,0.697,-0.572,0.419,0.109,-0.013,-0.029,0.993,-0.240,0.355,0.232,0.330,-0.315,-1.908,8.206,20.917
1.32185,0.680,-0.587,0.426,0.108,-0.011,-0.029,1.007,-0.247,0.356,0.228,0.342,-0.314,-1.932,8.206,20.917
1.34184,0.663,-0.602,0.433,0.106,-0.009,-0.031,1.006,-0.247,0.356,0.239,0.342,-0.314,-1.932,7.951,20.917
1.36185,0.645,-0.616,0.439,0.104,-0.011,-0.031,1.009,-0.241,0.349,0.210,0.342,-0.314,-1.932,7.951,20.917
1.38186,0.627,-0.629,0.447,0.104,-0.015,-0.034,1.015,-0.243,0.352,0.524,0.342,-0.314,-1.932,7.951,20.917
1.40185,0.609,-0.643,0.453,0.102,-0.006,-0.030,1.008,-0.245,0.352,0.247,0.342,-0.314,-1.932,7.951,20.917
1.42183,0.591,-0.656,0.458,0.100,-0.002,-0.039,1.003,-0.246,0.354,0.225,0.330,-0.311,-1.923,7.730,20.915
1.44185,0.572,-0.668,0.466,0.100,-0.017,-0.031,1.012,-0.241,0.356,0.547,0.330,-0.311,-1.923,7.730,20.915
1.46184,0.554,-0.680,0.471,0.098,-0.011,-0.030,0.942,-0.246,0.346,0.260,0.330,-0.311,-1.923,7.730,20.915
1.48184,0.535,-0.692,0.475,0.096,-0.003,-0.032,1.008,-0.246,0.352,0.252,0.330,-0.311,-1.923,7.730,20.915
1.50184,0.516,-0.703,0.480,0.093,-0.017,-0.035,1.008,-0.247,0.352,0.263,0.330,-0.311,-1.923,7.329,20.915
1.52184,0.497,-0.713,0.485,0.091,-0.012,-0.041,1.005,-0.249,0.349,0.238,0.321,-0.335,-1.947,7.329,20.915
1.54185,0.479,-0.723,0.490,0.088,-0.021,-0.030,1.017,-0.248,0.351,0.251,0.321,-0.335,-1.947,7.329,20.915
1.56184,0.460,-0.733,0.494,0.085,-0.014,-0.035,1.003,-0.253,0.356,0.244,0.321,-0.335,-1.947,7.329,20.915
